probe_id,log2fc,t_stat,pvalue,qvalue,gene
TC15000067.hg.1,7.969583333333333,14.25554579558505,2.981899784689732e-11,2.165179878070196e-08,"NR_003338 // SNORD116-24 // small nucleolar RNA, C/D box 116-24 // 15q11.2 // 100033435 /// ENST00000384549 // SNORD116-24 // small nucleolar RNA, C/D box 116-24 // 15q11.2 // 100033435"
TC15000063.hg.1,7.206875000000001,13.00503922254355,9.322630489825955e-10,1.3303437847108647e-07,"ENST00000383929 // SNORD116-17 // small nucleolar RNA, C/D box 116-17 // --- // ---"
TC15000064.hg.1,7.100208333333334,14.556453477585222,1.6131682539736998e-10,4.97415643170484e-08,"NR_003333 // SNORD116-18 // small nucleolar RNA, C/D box 116-18 // 15q11.2 // 100033430 /// ENST00000383961 // SNORD116-18 // small nucleolar RNA, C/D box 116-18 // 15q11.2 // 100033430"
TC18001004.hg.1,6.963958333333335,11.526223210899897,6.565133627678589e-10,1.1028118000245766e-07,"NM_002974 // SERPINB4 // serpin peptidase inhibitor, clade B (ovalbumin), member 4 // 18q21.3 // 6318 /// ENST00000341074 // SERPINB4 // serpin peptidase inhibitor, clade B (ovalbumin), member 4 // 18q21.3 // 6318 /// ENST00000356424 // SERPINB4 // serpin peptidase inhibitor, clade B (ovalbumin), member 4 // 18q21.3 // 6318 /// BC017401 // SERPINB4 // serpin peptidase inhibitor, clade B (ovalbumin), member 4 // 18q21.3 // 6318 /// OTTHUMT00000133794 // SERPINB4 // NULL // --- // --- /// OTTHUMT00000133795 // SERPINB4 // NULL // --- // --- /// OTTHUMT00000133796 // SERPINB4 // NULL // --- // --- /// OTTHUMT00000133797 // SERPINB4 // NULL // --- // ---"
TC18001005.hg.1,6.813958333333335,10.210385075775655,2.3407486678393814e-09,2.1347098218550583e-07,"NM_006919 // SERPINB3 // serpin peptidase inhibitor, clade B (ovalbumin), member 3 // 18q21.3 // 6317 /// ENST00000283752 // SERPINB3 // serpin peptidase inhibitor, clade B (ovalbumin), member 3 // 18q21.3 // 6317 /// ENST00000332821 // SERPINB3 // serpin peptidase inhibitor, clade B (ovalbumin), member 3 // 18q21.3 // 6317 /// BC005224 // SERPINB3 // serpin peptidase inhibitor, clade B (ovalbumin), member 3 // 18q21.3 // 6317 /// OTTHUMT00000133791 // SERPINB3 // NULL // --- // --- /// OTTHUMT00000133792 // SERPINB3 // NULL // --- // ---"
TC15000061.hg.1,6.770833333333333,11.15091600829098,1.7185244901341242e-09,1.7936402128249945e-07,"NR_003330 // SNORD116-15 // small nucleolar RNA, C/D box 116-15 // 15q11.2 // 100033427 /// ENST00000384445 // SNORD116-15 // small nucleolar RNA, C/D box 116-15 // 15q11.2 // 100033427"
TC01005837.hg.1,6.646041666666666,5.715498689683209,4.0220722523927885e-05,0.00015767924241485062,--- // --- // accn=AB048287 class=mRNAlike lncRNA name=Human lncRNA ref=JounralRNA transcriptId=4803 cpcScore=-0.7567010 cnci=-0.1348204 // --- // ---
TC05002034.hg.1,6.441041666666664,6.304698364657126,9.670290556126055e-06,4.8253556541349315e-05,--- // --- // ncrna:miRNA chromosome:GRCh37:5:167297550:167297670:-1 gene:ENSG00000221741 gene_biotype:miRNA transcript_biotype:miRNA // --- // ---
TC04001305.hg.1,6.314166666666665,8.23770631911563,4.558547057431596e-07,4.930005856730315e-06,NM_001565 // CXCL10 // chemokine (C-X-C motif) ligand 10 // 4q21 // 3627 /// BC010954 // CXCL10 // chemokine (C-X-C motif) ligand 10 // 4q21 // 3627 /// ENST00000306602 // CXCL10 // chemokine (C-X-C motif) ligand 10 // 4q21 // 3627 /// OTTHUMT00000362817 // CXCL10 // NULL // --- // ---
TC13000576.hg.1,6.257500000000001,8.497070285888213,3.173317068864688e-07,3.877287961464891e-06,"NM_001135934 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// NM_001135935 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// NM_001135936 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// NM_006475 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// ENST00000379742 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// ENST00000379743 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// ENST00000379747 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// ENST00000379749 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// ENST00000497145 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// ENST00000538347 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// ENST00000541179 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// ENST00000541481 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// BC106709 // POSTN // periostin, osteoblast specific factor // 13q13.3 // 10631 /// OTTHUMT00000044567 // POSTN // NULL // --- // --- /// OTTHUMT00000044568 // POSTN // NULL // --- // --- /// OTTHUMT00000044566 // POSTN // NULL // --- // --- /// OTTHUMT00000044569 // POSTN // NULL // --- // --- /// OTTHUMT00000044570 // POSTN // NULL // --- // --- /// OTTHUMT00000044571 // POSTN // NULL // --- // --- /// OTTHUMT00000044572 // POSTN // NULL // --- // --- /// OTTHUMT00000044573 // POSTN // NULL // --- // ---"
TC15000060.hg.1,6.215208333333331,10.672552241791603,1.506301590359827e-08,6.093478936228775e-07,"NR_003329 // SNORD116-14 // small nucleolar RNA, C/D box 116-14 // 15q11.2 // 100033426 /// ENST00000383894 // SNORD116-14 // small nucleolar RNA, C/D box 116-14 // 15q11.2 // 100033426"
TC04002067.hg.1,6.060416666666665,9.854822333276209,1.3000364253679627e-08,5.570359120066483e-07,--- // --- // accn=AJ227913 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000245062 cpcScore=-1.2482000 cnci=-0.5958696 // --- // ---
TC14002257.hg.1,6.048958333333334,7.399421363594687,1.9344647757153414e-06,1.3661424113627439e-05,ENST00000390609 // IGHV3-23 // immunoglobulin heavy variable 3-23 // --- // --- /// OTTHUMT00000325188 // IGHV3-23 // NULL // --- // ---
TC0Y000058.hg.1,6.018124999999999,5.891396254138073,2.857690482537759e-05,0.0001184035605011718,--- // --- // ncrna:miRNA chromosome:GRCh37:Y:18174646:18174709:1 gene:ENSG00000252664 gene_biotype:miRNA transcript_biotype:miRNA // --- // ---
TC11002234.hg.1,5.983541666666665,6.85531618595816,1.6919374606445914e-06,1.2387851332799302e-05,NM_001145938 // MMP1 // matrix metallopeptidase 1 (interstitial collagenase) // 11q22.3 // 4312 /// NM_002421 // MMP1 // matrix metallopeptidase 1 (interstitial collagenase) // 11q22.3 // 4312 /// ENST00000315274 // MMP1 // matrix metallopeptidase 1 (interstitial collagenase) // 11q22.3 // 4312 /// BC013875 // MMP1 // matrix metallopeptidase 1 (interstitial collagenase) // 11q22.3 // 4312 /// OTTHUMT00000109632 // MMP1 // NULL // --- // ---
TC0Y000284.hg.1,5.943749999999998,6.242436008370509,1.139527277157993e-05,5.5177110262387034e-05,--- // --- // linc-SPRY3-3 chrY:+:58883379-58887164 // --- // ---
TC11003312.hg.1,5.920000000000002,6.646205783978328,2.3009164114034e-06,1.5565646506636828e-05,--- // --- // accn=M15996 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000194430 cpcScore=0.6028000 cnci=-0.1783879 // --- // ---
TC02003394.hg.1,5.724583333333333,6.429582676810823,1.0286833148796543e-05,5.074933149144665e-05,--- // --- // accn=X72457 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000323299 cpcScore=2.4637300 cnci=-0.1473087|accn=DQ841023 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000393763 cpcScore=2.1955100 cnci=-0.1703001|accn=S62210 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000215989 cpcScore=2.1101000 cnci=-0.1901121|accn=AF103542 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000069195 cpcScore=1.9772800 cnci=-1.0000000|accn=EF624227 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000469609 cpcScore=1.6611400 cnci=-0.0391745|accn=X87458 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000324301 cpcScore=1.6078700 cnci=-0.0586105|accn=X85148 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000324113 cpcScore=1.7019900 cnci=-0.1459750|accn=X85152 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000324117 cpcScore=1.5484000 cnci=-0.0934506|accn=Z30572 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000326899 cpcScore=1.6738200 cnci=-1.0000000 // --- // ---
TC17000248.hg.1,5.717916666666667,13.244898844289798,4.723396713033482e-11,2.784127046304365e-08,--- // --- // uc021tse.1 // --- // ---
TC20000341.hg.1,5.694583333333331,5.328015687193874,4.3555642968802846e-05,0.00016862891058349493,"NM_002638 // PI3 // peptidase inhibitor 3, skin-derived // 20q13.12 // 5266 /// ENST00000243924 // PI3 // peptidase inhibitor 3, skin-derived // 20q13.12 // 5266 /// BC010952 // PI3 // peptidase inhibitor 3, skin-derived // 20q13.12 // 5266 /// OTTHUMT00000079418 // PI3 // NULL // --- // ---"
TC16000648.hg.1,5.694375000000001,4.9742533472562185,0.00011949688794655772,0.00039617958804277054,--- // --- // ncrna:miRNA chromosome:GRCh37:16:82875691:82875805:1 gene:ENSG00000221395 gene_biotype:miRNA transcript_biotype:miRNA // --- // ---
TC6_ssto_hap7000164.hg.1,5.523124999999997,9.32617287109581,1.3252743477544983e-08,5.632952378378969e-07,"BC033827 // HLA-DRB1 // major histocompatibility complex, class II, DR beta 1 // 6p21.3 // 3123"
TC16000387.hg.1,5.453749999999999,6.065028713871365,2.109712736777944e-05,9.210284567438648e-05,"--- // --- // AF209882,uc002ecv.1 // --- // ---"
TC22000467.hg.1,5.435625000000001,6.0581603550167396,2.0907208120209395e-05,9.136232122833755e-05,"--- // --- // HM222546,uc011agg.1 // --- // ---"
TC11002237.hg.1,5.433125,8.671533020699238,2.9303440127445355e-07,3.6760221157832623e-06,NM_002426 // MMP12 // matrix metallopeptidase 12 (macrophage elastase) // 11q22.3 // 4321 /// ENST00000326227 // MMP12 // matrix metallopeptidase 12 (macrophage elastase) // 11q22.3 // 4321 /// ENST00000532855 // MMP12 // matrix metallopeptidase 12 (macrophage elastase) // 11q22.3 // 4321 /// BC112301 // MMP12 // matrix metallopeptidase 12 (macrophage elastase) // 11q22.3 // 4321 /// BC143773 // MMP12 // matrix metallopeptidase 12 (macrophage elastase) // 11q22.3 // 4321
TC01006377.hg.1,5.43104166666667,4.405004582001409,0.00029072099995304653,0.0008553791854311065,NM_005988 // SPRR2A // small proline-rich protein 2A // 1q21-q22 // 6700 /// ENST00000392653 // SPRR2A // small proline-rich protein 2A // 1q21-q22 // 6700 /// OTTHUMT00000040049 // SPRR2A // NULL // --- // ---
TC01005754.hg.1,5.3718749999999975,6.622627911993334,6.904879936299453e-06,3.674332012123164e-05,--- // --- // linc-FCGR1B-7 chr1:-:121484056-121485434|linc-FCGR1B-7 chr1:-:121484423-121485429 // --- // ---
TC04001304.hg.1,5.31625,7.7456885670332785,1.1789009477947297e-06,9.533990802716468e-06,NM_002416 // CXCL9 // chemokine (C-X-C motif) ligand 9 // 4q21 // 4283 /// ENST00000264888 // CXCL9 // chemokine (C-X-C motif) ligand 9 // 4q21 // 4283 /// BC063122 // CXCL9 // chemokine (C-X-C motif) ligand 9 // 4q21 // 4283 /// BC095396 // CXCL9 // chemokine (C-X-C motif) ligand 9 // 4q21 // 4283 /// OTTHUMT00000362819 // CXCL9 // NULL // --- // ---
TC01000794.hg.1,5.265416666666669,8.065715821611454,7.060950218814088e-07,6.628495450048609e-06,NM_006820 // IFI44L // interferon-induced protein 44-like // 1p31.1 // 10964 /// ENST00000342282 // IFI44L // interferon-induced protein 44-like // 1p31.1 // 10964 /// ENST00000370751 // IFI44L // interferon-induced protein 44-like // 1p31.1 // 10964 /// ENST00000476521 // IFI44L // interferon-induced protein 44-like // 1p31.1 // 10964 /// BC015932 // IFI44L // interferon-induced protein 44-like // 1p31.1 // 10964 /// OTTHUMT00000026834 // IFI44L // NULL // --- // --- /// OTTHUMT00000026838 // IFI44L // NULL // --- // --- /// OTTHUMT00000026835 // IFI44L // NULL // --- // --- /// OTTHUMT00000026836 // IFI44L // NULL // --- // --- /// OTTHUMT00000026837 // IFI44L // NULL // --- // --- /// OTTHUMT00000026839 // IFI44L // NULL // --- // --- /// OTTHUMT00000026840 // IFI44L // NULL // --- // --- /// OTTHUMT00000026841 // IFI44L // NULL // --- // --- /// OTTHUMT00000096291 // IFI44L // NULL // --- // --- /// OTTHUMT00000324180 // IFI44L // NULL // --- // ---
TC01001837.hg.1,5.258333333333331,12.030292058425417,2.2902859894185327e-10,5.999522101819094e-08,--- // --- // ncrna:snRNA chromosome:GRCh37:1:223877753:223877816:1 gene:ENSG00000212398 gene_biotype:snRNA transcript_biotype:snRNA // --- // ---
TC15000049.hg.1,5.224166666666665,10.765628022207807,4.117671852990659e-09,2.965654978620355e-07,"ENST00000384274 // SNORD116-2 // small nucleolar RNA, C/D box 116-2 // 15q11.2 // 100033414"
TC06001041.hg.1,5.223333333333333,6.965371502493484,1.7545526590317519e-06,1.2723006797817399e-05,"--- // --- // JA611294,uc021zgh.1 // --- // ---"
TC10002107.hg.1,5.212500000000002,12.644137507034085,5.650679977767774e-09,3.506928234105538e-07,--- // --- // accn=NR_036430 class=lncRNA name= ref=RefGeneNoncode transcriptId=NR_036430 cpcScore=1.4305400 cnci=-0.3289798 // --- // ---
TC14002240.hg.1,5.208125000000001,5.849537852788045,2.4518322939689585e-05,0.00010422216489181408,ENST00000390590 // IGHD3-3 // immunoglobulin heavy diversity 3-3 // --- // --- /// OTTHUMT00000325964 // IGHD3-3 // NULL // --- // ---
TC0Y000283.hg.1,5.173749999999998,5.045582600633288,0.00013610159637144817,0.0004439293145810343,--- // --- // linc-SPRY3-4 chrY:+:58838500-58842077 // --- // ---
TC04001635.hg.1,5.137083333333333,4.529991255551043,0.00032076531040433313,0.000930799702676456,--- // --- // ncrna:miRNA chromosome:GRCh37:4:151560908:151561018:-1 gene:ENSG00000221235 gene_biotype:miRNA transcript_biotype:miRNA // --- // ---
TC12001883.hg.1,5.1116666666666655,13.65113397598999,4.243080179137162e-11,2.672699119073798e-08,--- // --- // ncrna:snRNA chromosome:GRCh37:12:102265520:102265579:-1 gene:ENSG00000252863 gene_biotype:snRNA transcript_biotype:snRNA // --- // ---
TC16000396.hg.1,5.069166666666667,6.662329310254513,5.556158466473752e-06,3.098746852692761e-05,--- // --- // cdna:pseudogene chromosome:GRCh37:16:33006369:33006839:1 gene:ENSG00000233732 gene_biotype:pseudogene transcript_biotype:processed_pseudogene // --- // ---
TC04002623.hg.1,5.046874999999999,11.178028714074703,6.4842475805914476e-09,3.7328923326699e-07,--- // --- // accn=BC010383 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000087476 cpcScore=0.8111230 cnci=-0.1074495 // --- // ---
TC12001532.hg.1,5.033124999999999,5.319217157035125,7.62027623584952e-05,0.00027041989261361414,NM_006121 // KRT1 // keratin 1 // 12q13.13 // 3848 /// ENST00000252244 // KRT1 // keratin 1 // 12q13.13 // 3848 /// BC063697 // KRT1 // keratin 1 // 12q13.13 // 3848
TC01001622.hg.1,5.024583333333334,10.83488396275806,8.171808852982575e-09,4.2046286983071547e-07,NM_002922 // RGS1 // regulator of G-protein signaling 1 // 1q31 // 5996 /// ENST00000367459 // RGS1 // regulator of G-protein signaling 1 // 1q31 // 5996 /// BC015510 // RGS1 // regulator of G-protein signaling 1 // 1q31 // 5996 /// OTTHUMT00000086391 // RGS1 // NULL // --- // --- /// OTTHUMT00000086392 // RGS1 // NULL // --- // --- /// OTTHUMT00000086393 // RGS1 // NULL // --- // --- /// OTTHUMT00000313737 // RGS1 // NULL // --- // --- /// OTTHUMT00000313738 // RGS1 // NULL // --- // ---
TC6_apd_hap1000101.hg.1,5.021666666666666,9.375090289700633,1.4588193929198564e-08,5.995809857887526e-07,"NM_001243965 // HLA-DRB1 // major histocompatibility complex, class II, DR beta 1 // 6p21.3 // 3123 /// BC007920 // HLA-DRB1 // major histocompatibility complex, class II, DR beta 1 // 6p21.3 // 3123 /// BC008403 // HLA-DRB1 // major histocompatibility complex, class II, DR beta 1 // 6p21.3 // 3123 /// BC031023 // HLA-DRB1 // major histocompatibility complex, class II, DR beta 1 // 6p21.3 // 3123 /// BC106057 // HLA-DRB3 // major histocompatibility complex, class II, DR beta 3 // 6p21.3 // 3125 /// OTTHUMT00000309509 // HLA-DRB3 // NULL // --- // ---"
TC22001449.hg.1,4.986875000000001,5.949054613891537,2.2248869763036086e-05,9.619192505015052e-05,ENST00000390331 // IGLC7 // immunoglobulin lambda constant 7 // --- // --- /// OTTHUMT00000320966 // IGLC7 // NULL // --- // ---
TC11003311.hg.1,4.972291666666667,5.768504174480709,1.732611255037733e-05,7.806229839217242e-05,--- // --- // accn=DQ399597 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000391883 cpcScore=0.6053080 cnci=-0.1396611 // --- // ---
TC01003255.hg.1,4.967083333333334,5.231201847517021,8.733282544778902e-05,0.0003036302855809245,NM_001024209 // SPRR2E // small proline-rich protein 2E // 1q21-q22 // 6704 /// ENST00000368750 // SPRR2E // small proline-rich protein 2E // 1q21-q22 // 6704 /// ENST00000368751 // SPRR2E // small proline-rich protein 2E // 1q21-q22 // 6704 /// OTTHUMT00000040055 // SPRR2E // NULL // --- // --- /// OTTHUMT00000040054 // SPRR2E // NULL // --- // ---
TC11001833.hg.1,4.952083333333336,5.4048385128472205,0.00018103678690947175,0.0005678147768891226,ENST00000458175 // FABP5P7 // fatty acid binding protein 5 pseudogene 7 // --- // ---
TC11002233.hg.1,4.943958333333334,5.855061796453377,2.403122210705995e-05,0.00010255832436614704,NM_002425 // MMP10 // matrix metallopeptidase 10 (stromelysin 2) // 11q22.3 // 4319 /// ENST00000279441 // MMP10 // matrix metallopeptidase 10 (stromelysin 2) // 11q22.3 // 4319 /// BC002591 // MMP10 // matrix metallopeptidase 10 (stromelysin 2) // 11q22.3 // 4319
TC14002261.hg.1,4.935000000000001,6.7381302057890915,5.893693773667678e-06,3.2406917445503704e-05,ENST00000390613 // IGHV3-30 // immunoglobulin heavy variable 3-30 // --- // --- /// OTTHUMT00000325163 // IGHV3-30 // NULL // --- // ---
TC6_dbb_hap3000208.hg.1,4.930208333333333,10.233113250388437,1.8929145750488086e-08,6.98079978786352e-07,--- // --- // linc-CCDC21 chr6_dbb_hap3:-:3776251-3777348 // --- // ---
TC21000739.hg.1,4.922083333333331,7.909523996718353,6.131597781312381e-07,6.0068843025745315e-06,--- // --- // accn=AY186254 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000085081 cpcScore=0.8460430 cnci=-0.2242677 // --- // ---
TC01005830.hg.1,4.869583333333333,5.562565048348125,4.953861905968686e-05,0.00018786117076781796,--- // --- // accn=L01090 class=mRNAlike lncRNA name=NULL ref=H-invitational v7.5 transcriptId=HIT000191444 cpcScore=1.4256500 cnci=-0.2321455 // --- // ---
TC6_mann_hap4000161.hg.1,4.83625,10.69875012522275,6.719711372936e-09,3.7879472546529305e-07,"--- // --- // AF017439,uc021zqg.1 // --- // ---"
TC10000415.hg.1,4.833750000000003,14.160681057294868,7.633052976216315e-11,3.391565191188376e-08,NM_002727 // SRGN // serglycin // 10q22.1 // 5552 /// NR_036430 // SRGN // serglycin // 10q22.1 // 5552 /// ENST00000242465 // SRGN // serglycin // 10q22.1 // 5552 /// ENST00000462445 // SRGN // serglycin // 10q22.1 // 5552 /// BC015516 // SRGN // serglycin // 10q22.1 // 5552 /// OTTHUMT00000048379 // SRGN // NULL // --- // --- /// OTTHUMT00000048380 // SRGN // NULL // --- // ---
TC05000805.hg.1,4.824166666666667,6.051394439393631,9.572857351405212e-06,4.786641327106191e-05,"NM_001127699 // SPINK5 // serine peptidase inhibitor, Kazal type 5 // 5q32 // 11005 /// NM_001127698 // SPINK5 // serine peptidase inhibitor, Kazal type 5 // 5q32 // 11005 /// NM_006846 // SPINK5 // serine peptidase inhibitor, Kazal type 5 // 5q32 // 11005 /// ENST00000256084 // SPINK5 // serine peptidase inhibitor, Kazal type 5 // 5q32 // 11005 /// ENST00000359874 // SPINK5 // serine peptidase inhibitor, Kazal type 5 // 5q32 // 11005 /// ENST00000398454 // SPINK5 // serine peptidase inhibitor, Kazal type 5 // 5q32 // 11005 /// ENST00000476608 // SPINK5 // serine peptidase inhibitor, Kazal type 5 // 5q32 // 11005 /// OTTHUMT00000259215 // SPINK5 // NULL // --- // --- /// OTTHUMT00000259217 // SPINK5 // NULL // --- // --- /// OTTHUMT00000259216 // SPINK5 // NULL // --- // --- /// OTTHUMT00000259220 // SPINK5 // NULL // --- // --- /// OTTHUMT00000259219 // SPINK5 // NULL // --- // --- /// OTTHUMT00000373334 // SPINK5 // NULL // --- // --- /// OTTHUMT00000373335 // SPINK5 // NULL // --- // --- /// OTTHUMT00000374360 // SPINK5 // NULL // --- // --- /// OTTHUMT00000374361 // SPINK5 // NULL // --- // ---"
TC0X000213.hg.1,4.758124999999999,11.494522152835192,2.924911262471861e-10,6.979272358028263e-08,--- // --- // ncrna:snRNA chromosome:GRCh37:X:44744751:44744811:1 gene:ENSG00000252113 gene_biotype:snRNA transcript_biotype:snRNA // --- // ---
TC07003035.hg.1,4.741041666666668,10.987815016475897,1.8178090162571183e-09,1.8542750339850558e-07,--- // --- // accn=CR626993 class=mRNAlike lncRNA name=Human lncRNA ref=JounralRNA transcriptId=3728 cpcScore=-0.6202130 cnci=-0.4651849 // --- // ---
TC02004979.hg.1,4.715625000000002,6.379401737735781,1.0685335246899416e-05,5.238180170980935e-05,ENST00000558152 // IGKV1D-27 // immunoglobulin kappa variable 1D-27 (pseudogene) // --- // ---
