N,Context,Target,scoring_gene,arm,refit_context,E_refit,E_published,E_derivable_from_data,E_basis,refit_log2FC,refit_q,P_refit,P_published,P_basis,pathway_q,G_curated,L_curated,Total,Tier
19,RMC,CEACAM1,CEACAM1,de,RMC,3,3,True,"CEACAM1 log2FC +1.42, q 2.15e-05 (RMC, refit)",1.41931964837862,2.14691118625299e-05,1,0,Cytokine_receptor_interaction: q 0.00145 (enriched at q<0.1); target not in pathway set,0.0014507720106064,3,0,7,Strong
20,Penile SCC,PD-1 / PD-L1 (HLA-DRA / CXCL10 immune-hot phenotype),HLA-DRA,de,PSCC,3,3,True,"HLA-DRA log2FC +8.92, q 2.68e-05 (PSCC, refit)",8.92208333333334,2.67503877703762e-05,2,2,Antigen_processing_presentation: q 0.0031 (enriched at q<0.1); target in pathway set,0.0030977446108821,1,1,7,Strong
21,Penile SCC,MMP1 / MMP9,MMP1,de,PSCC,3,3,True,"MMP1 log2FC +5.98, q 0.0138 (PSCC, refit)",5.98354166666667,0.0138273534821345,1,1,Cytokine_receptor_interaction: q 0.0043 (enriched at q<0.1); target not in pathway set,0.0043019425822869,0,1,5,Moderate
22,Penile SCC,POSTN / TGFβ axis,POSTN,de,PSCC,3,3,True,"POSTN log2FC +6.26, q 0.00695 (PSCC, refit)",6.2575,0.0069450367276444,1,1,Cytokine_receptor_interaction: q 0.0043 (enriched at q<0.1); target not in pathway set,0.0043019425822869,0,1,5,Moderate
23,Sarcomatoid UC,NSD2 / WHSC1 (histone methyltransferase),NSD2,de,SarcUC,3,3,True,"NSD2 log2FC +1.26, q 1.27e-13 (SarcUC, refit)",1.25832939954587,1.26568494526104e-13,2,2,Epigenetic_Regulation: q 0.0577 (enriched at q<0.1); target in pathway set,0.0576947840477228,0,0,5,Moderate
24,Sarcomatoid UC,ATR / ATRIP (DNA damage response),ATR,de,SarcUC,0,3,True,"ATR log2FC +0.18, q 0.0831 (SarcUC, refit)",0.177482678255587,0.0830846702168365,2,1,Cell_Cycle: q 0.00176 (enriched at q<0.1); target in pathway set,0.0017581859254402,0,0,2,Exploratory
25,Sarcomatoid UC,UHRF1 (epigenetic reader),UHRF1,de,SarcUC,3,3,True,"UHRF1 log2FC +1.55, q 5.62e-12 (SarcUC, refit)",1.55189918858606,5.62298719804784e-12,2,2,Epigenetic_Regulation: q 0.0577 (enriched at q<0.1); target in pathway set,0.0576947840477228,0,1,6,Moderate
26,Sarcomatoid UC,G6PD (pentose phosphate),G6PD,de,SarcUC,3,3,True,"G6PD log2FC +1.32, q 5.29e-11 (SarcUC, refit)",1.32043672672171,5.290123186272489e-11,1,1,Pentose_phosphate_pathway: q 0.98 (not enriched at q<0.1); target in pathway set,0.9799502279628752,0,1,5,Moderate
27,Sarcomatoid UC,TROP2 (TACSTD2 DOWNREGULATED),TACSTD2,de,SarcUC,3,−3,True,"TACSTD2 log2FC -2.06, q 9.65e-19 (SarcUC, refit)",-2.06423418924647,9.64661587834248e-19,0,0,nan: q n/a (not enriched at q<0.1); target not in pathway set,,0,0,3,Exploratory
28,SCBC (ASCL1+),CEACAM5 (CEA),CEACAM5,de,SCBC_ASCL1,3,3,True,"CEACAM5 log2FC +6.45, q 0.000297 (SCBC_ASCL1, refit)",6.44545376254699,0.0002969179470215,0,0,nan: q n/a (not enriched at q<0.1); target not in pathway set,,1,1,5,Moderate
29,SCBC (NEUROD1+),SSTR2 (somatostatin receptor 2),SSTR2,de,SCBC_NEUROD1,0,3,True,"SSTR2 log2FC +2.30, q 0.363 (SCBC_NEUROD1, refit)",2.30000934882713,0.362913847252951,1,1,Neuroactive_ligand_receptor: q 1 (not enriched at q<0.1); target in pathway set,1.0,1,0,2,Exploratory
30,SCBC (POU2F3+),COX-1 / PTGS1,PTGS1,de,SCBC_POU2F3,3,3,True,"PTGS1 log2FC +3.56, q 0.0126 (SCBC_POU2F3, refit)",3.56007354527279,0.0125949838356163,2,2,Arachidonic_acid_metabolism: q 0.0677 (enriched at q<0.1); target in pathway set,0.0676751774142437,1,1,7,Strong
